product_id,product_name,price,rating,url
P0214,OPPO Pad SE Matte 4G 8GB 256GB,7690000,4.9,https://fptshop.com.vn/may-tinh-bang/oppo-pad-se-matte-4g
P0215,Lenovo Tab 10.1 WiFi 4GB 128GB,4050000,4.9,https://fptshop.com.vn/may-tinh-bang/lenovo-tab-101-wifi
P0216,Samsung Galaxy Tab S10 Plus 5G 12GB 256GB,23490000,4.9,https://fptshop.com.vn/may-tinh-bang/samsung-galaxy-tab-s10-plus-5g
P0217,Huawei MatePad 11.5 PaperMatte 2025 WiFi 8GB 256GB,11990000,4.9,https://fptshop.com.vn/may-tinh-bang/huawei-matepad-115-2025
P0218,Lenovo Tab M9 WiFi 4GB 128GB,2990000,4.9,https://fptshop.com.vn/may-tinh-bang/lenovo-tab-m9-wifi
P0219,Xiaomi Redmi Pad 2 WiFi 4GB 256GB,6190000,4.9,https://fptshop.com.vn/may-tinh-bang/xiaomi-redmi-pad-2-4gb
P0220,iPad Pro 13 M5 2025 5G 16GB 2TB,79390000,4.9,https://fptshop.com.vn/may-tinh-bang/ipad-pro-13-m5-2025-wifi-cellular-16gb
P0221,iPad Pro 11 M5 2025 Nano WiFi 1TB,53490000,4.9,https://fptshop.com.vn/may-tinh-bang/ipad-pro-11-m5-2025-nano-wifi
P0222,Masstel Tab 10 Edu 4G 3GB-32GB,1790000,4.9,https://fptshop.com.vn/may-tinh-bang/masstel-tab-10-edu-4g
P0223,iPad A16 5G 128GB,16490000,4.9,https://fptshop.com.vn/may-tinh-bang/ipad-a16-5g
